"Código","Concurso","Área ","Título","Director General"
"IT15I10033","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","PESCA Y ACUICULTURA","DESARROLLO DE HARINA DE MICROALGAS DE BAJO COSTO Y ELEVADO CONTENIDO DE OMEGA-3 DEL TIPO EPA, PARA SER UTILIZADO COMO SUPLEMENTO ALIMENTICIO EN LA INDUSTRIA ACUÍCOLA.","JAZMIN BAZAES DONOSO"
"IT15I10036","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","EDUCACION Y CIENCIAS SOCIALES","DESARROLLO DE UNA PLATAFORMA PARA EL DIAGNÓSTICO DE LA COMPRENSIÓN LECTORA Y ORIENTACIONES PARA LA I NTERVENCIÓN PEDAGÓGICA","BERNARDO RIFFO OCARES"
"IT15I10037","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","INFRAESTRUCTURA","INTEGRACIÓN INDUSTRIAL DE DISPOSITIVOS DE PROTECCIÓN SÍSMICA EN ESTANQUES DE ACERO INOXIDABLE Y RECO MENDACIONES DE ANÁLISIS Y DISEÑO","JOSE ALMAZAN CAMPILLAY"
"IT15I10041","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","IMPLEMENTACIÓN DE HERRAMIENTAS Y PROCESOS DEL OBSERVATORIO VIRTUAL CHILENO","MAURICIO SOLAR FUENTES"
"IT15I10042","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","AUTENTICACIÓN DE VINO CON INFORMACIÓN ELECTRONICA","TRUNG PHAM TAT"
"ID15I10611","II CONCURSO IDEA EN DOS ETAPAS, DE FONDEF DE CONICYT 2015","AGROPECUARIA","CONCENTRACIóN DE EXTRACTOS FENóLICOS Y PURIFICACIóN DE HIDROXITIROSOL A PARTIR DE RILES DE LA INDUST RIA OLIVíCOLA UTILIZANDO PERSTRACCIóN","ANDREA PLAZA RAMIREZ"
"IT15I10050","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","RESPUESTA AUTOMATIZADA PARA INTELIGENCIA EN DESPACHOS ONLINE (RAPIDO)","FERNANDO ORDóñEZ PIZARRO"
"IT15I10053","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","SALUD","DISEÑO Y VALIDACIÓN DE UNA HERRAMIENTA TECNOLÓGICA PARA LA PESQUISA DE SARCOPENIA EN ADULTOS MAYORES (AM), PARA SU USO EN EL NIVEL PRIMARIO DE ATENCIÓN DE SALUD.","LYDIA LERA MARQUES"
"IT15I10066","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","PESCA Y ACUICULTURA","PRODUCCIÓN DE SEMILLAS DE CONCHOLEPAS CONCHOLEPAS INCORPORANDO PROTOZOOPLANCTON NATIVO EN FASE DE CU LTIVO LARVAL","MARIO LODY CORTES"
"IT15I10070","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","MINERIA","SISTEMA DE DETECCIÓN Y CLASIFICACIÓN MINERALÓGICA RÁPIDA BASADO EN ANÁLISIS HÍPER ESPETRAL","MARTIN ADAMS"
"IT15I10073","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","PESCA Y ACUICULTURA","DESARROLLO Y VALIDACIÓN DE BIOPINTURA ANTI-INCRUSTANTE AMBIENTALMENTE INOCUA PARA EL SECTOR ACUÍCOLA","HOMERO URRUTIA BRIONES"
