"Código","Concurso","Área ","Título","Director General"
"ID16I10228","III CONCURSO IDEA EN DOS ETAPAS 2016","MANUFACTURA","VIDPAPER: DESARROLLO DE PAPELES Y CARTONES UTILIZANDO UN PROCESAMIENTO INTEGRADO DE LA BIOMASA RESID UAL VITIVINÍCOLA.","JUAN ELISSETCHE MARTINEZ"
"ID16I10244","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DESARROLLO BIOTECNOLÓGICO DE UN NUEVO RECURSO PLANCTÓNICO COMO FUENTE DE COMPUESTOS BIOACTIVOS PARA LA INDUSTRIA ACUÍCOLA Y ALIMENTARIA","MARIA MATA CONTRERAS"
"ID16I10252","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DESARROLLO DE HERRAMIENTAS GENÉTICO-MOLECULARES EN EL RECURSO OSTRA CHILENA (OSTREA CHILENSIS) PARA SU APLICACIÓN EN ESTUDIOS GENÉTICOS COMO BASE PARA EL FORTALECIMIENTO DE SU SUSTENTABILIDAD Y CULTIV O.","IVONNE LEE MONTERO"
"ID16I10258","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","NANOINMUNOTERAPIA PARA ESCLEROSIS MÚLTIPLE: NUEVA ESTRATEGIA TERAPÉUTICA PARA LA ENTREGA DIRECTA DE INMUNOMODULADORES EN EL SISTEMA NERVIOSO CENTRAL","RODRIGO NAVES PICHUANTE"
"CA12I10206","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","AGROPECUARIA","BÚSQUEDA DE BIOMODULADORES DE INTERÉS AGRONÓMICO MEDIANTE GENÓMICA QUÍMICA Y SU EVALUACIÓN ""ECOTOXICOLÓGICA""","LORENA NORAMBUENA MORALES"
"ID16I10274","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DESARROLLO DE UN ADITIVO DIETARIO PARA MEJORAR LA CONVERSIÓN ALIMENTICIA EN SALMÓNIDOS ALIMENTADOS C ON INGREDIENTES VEGETALES?","JURIJ WACYK GONZALEZ"
"ID16I10278","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","PROYECTO VIDA: MODELO DE VISITA DOMICILIARIA AVANZADA, APOYADO POR TECNOLOGÍA, PARA EL FORTALECIMIEN TO DE INTERVENCIONES BIOPSICOSOCIALES CON GESTANTES Y CUIDADORES PRIMARIOS DE NIÑOS/AS DE 0- 6 AÑOS, EN EL SISTEMA DE ATENCIÓN PRIMARIA EN SALUD","MARCELA ARACENA ALVAREZ"
"ID16I10286","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","PEPTARAM: PEPTAIBOLES CON PROPIEDADES ANTIBACTERIANAS CONTRA BACTERIAS PATÓGENAS HUMANAS MULTIRESIST ENTES","GÖTZ PALFNER"
"ID16I10290","III CONCURSO IDEA EN DOS ETAPAS 2016","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","DETECCIÓN AUTOMÁTICA DE SIMILITUDES ENTRE IMÁGENES DE MARCAS PARA SU REGISTRO Y PROTECCIÓN","CLAUDIO PEREZ FLORES"
"ID16I10291","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DESARROLLO DE UNA NUEVA ESTRATEGIA DE PREVENCIÓN Y CONTROL DE MORTALIDADES CAUSADAS POR VIBRIOSIS EN HATCHERIES DE MOLUSCOS BASADA EN EL USO DE BACTERIÓFAGOS","CLAUDIO MIRANDA PEREZ"
"ID16I10303","III CONCURSO IDEA EN DOS ETAPAS 2016","MANUFACTURA","SILLA AMOMYRTUS, DISEÑO-DIALÓGICO COMO ALTERNATIVA SUSTENTABLE PARA EL BOSQUE SIEMPREVERDE: BASES PA RA UN MODELO DE TRANSFERENCIA SOCIO-TECNOLÓGICA FUNDADO EN PROCESOS DE SELECCIÓN DE MADERA Y EL DISE ÑO CONTEMPORÁNEO DE OBJETOS CERTIFICABLES.","MARCOS GARCIA ALVARADO"
"ID16I10322","III CONCURSO IDEA EN DOS ETAPAS 2016","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","DISPOSITIVO NEUROINGENIERIL PARA MEJORAR EL CONTROL DE LA ATENCIÓN DE TRABAJADORES EN MINAS A GRAN A LTURA","ALEJANDRO WEINSTEIN OPPENHEIMER"
"ID16I10331","III CONCURSO IDEA EN DOS ETAPAS 2016","ENERGIA Y AGUAS","DISEÑO, INTEGRACIÓN, ENSAYO Y CARACTERIZACIÓN DE UN CONCEPTO EXPERIMENTAL DE SISTEMA HÍBRIDO DE CONV ERSIÓN DE ENERGÍA SOLAR EN ENERGÍA ELÉCTRICA Y TÉRMICA","AMADOR GUZMAN CUEVAS"
"ID16I10332","III CONCURSO IDEA EN DOS ETAPAS 2016","MINERIA","PROCESO BIOTECNOLÓGICO PARA LA REMOCIÓN DE SULFATO DESDE SOLUCIONES INDUSTRIALES DE OPERACIONES HIDR OMETALÚRGICAS","CECILIA DEMERGASSO SEMENZATO"
"ID16I10341","III CONCURSO IDEA EN DOS ETAPAS 2016","FORESTAL","DESARROLLO DE UN BIOHERBICIDA PARA EL MANEJO DE LAS MALEZAS RETAMILLA (GENISTA MONSPESSULANA), BAUTR O (CYTISUS SCOPARIUS) Y ULEX (ULEX EUROPAEUS) EN PLANTACIONES FORESTALES Y EN ECOSISTEMAS NATURALES.","EUGENIO SANFUENTES VON STOWASSER"
"ID16I10344","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DESARROLLO DE NUEVOS ALIMENTOS BASADOS EN EL USO DE MICROALGAS RICAS EN DHA Y EPA PARA LA PRODUCCIÓN SUSTENTABLE DE TRUCHA ARCO IRIS ENRIQUECIDA CON OMEGA-3 DESTINADA A MERCADOS DE CALIDAD PREMIUM","ROBERT SIMPFEND RFER KAROW"
"ID16I10350","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","MODELO DE INTERVENCIÓN EDUCATIVA INTERCULTURAL EN CONTEXTO INDÍGENA","SEGUNDO QUINTRIQUEO MILLAN"
"ID16I10353","III CONCURSO IDEA EN DOS ETAPAS 2016","MANUFACTURA","RECICLAJE DE ALUMINIO: VALORIZACIÓN DE LOS RESIDUOS PARA APLICACIONES ESTRUCTURALES EN UN PROCESO AM BIENTALMENTE AMIGABLE","CLAUDIA CARRASCO CARRASCO"
"ID16I10354","III CONCURSO IDEA EN DOS ETAPAS 2016","FORESTAL","BACTERIAS ENDÓFITAS FIJADORAS DE NITRÓGENO: UNA ALTERNATIVA INNOVADORA PARA MEJORAR LA SOSTENIBILIDA D Y PRODUCTIVIDAD FORESTAL","SOFIA VALENZUELA AGUILA"
"ID16I10358","III CONCURSO IDEA EN DOS ETAPAS 2016","ENERGIA Y AGUAS","DISPOSITIVO CATALÍTICO AUTÓNOMO Y DE BAJO COSTO BASADO EN COBRE PARA LA ELIMINACIÓN DE CONTAMINANTES EN CALEFACTORES A LEÑA","SICHEM GUERRERO RUZ"
"ID16I10366","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","EFECTO RADIOPROTECTOR DE UN NOVEDOSO SISTEMA INYECTABLE DE DOSIS GRADUABLE PARA LA ADMINISTRACIÓN DE UN FACTOR DE CRECIMIENTO DUAL CONTRA EL DAÑO Y DETERIORO DE GLÁNDULAS SALIVALES TRAS LA IRRADIACIÓN GAMMA EN LA REGIÓN CABEZA Y CUELLO","ZIYAD HAIDAR"
"ID16I10369","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","INGENIERÍA GENÉTICA DE LINFOCITOS T CON RECEPTORES QUIMÉRICOS PARA EL DESARROLLO DE INMUNOTERAPIAS C ONTRA EL CÁNCER","ALVARO LLADSER CALDERA"
"ID16I10420","III CONCURSO IDEA EN DOS ETAPAS 2016","MINERIA","DESARROLLO DE UN SISTEMA DE MEDICIÓN NO-NUCLEAR EN TIEMPO REAL DE LA DENSIDAD DE PULPA MINERAL EN DI SPERSIONES AIREADAS","MIGUEL MALDONADO SAAVREDA"
"ID16I10424","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","PROTOCOLO DE ATENCIÓN CON PERTINENCIA CULTURAL A USUARIOS MAPUCHE EN LOS TRIBUNALES DE LA ARAUCANÍA","FABIEN LE BONNIEC"
"ID16I10425","III CONCURSO IDEA EN DOS ETAPAS 2016","MANUFACTURA","DESARROLLO DE UNA FORMULACIÓN EN BASE A POLÍMERO BIOMIMÉTICO PARA AMINORAR EL DAÑO POR HELADAS EN LA FRUTICULTURA","SADDYS RODRIGUEZ LLAMAZARES"
"ID16I10437","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","REPOBLAMIENTO DE PECES DE ROCA DE ALTO VALOR COMERCIAL MEDIANTE SISTEMA SIPS EN CALETA DE PESCADORES ARTESANALES EN PRIMERA REGIÓN TARAPACÁ RECUPERANDO LA CAPACIDAD EXTRACTIVA POR PARTE DE LOS PESCADO RES IMPACTANDO POSITIVAMENTE INGRESOS Y NIVEL DE VIDA","GERMAN BUENO GALAZ"
"ID16I10449","III CONCURSO IDEA EN DOS ETAPAS 2016","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","SISTEMA INTELIGENTE PARA LA GESTIÓN Y ANÁLISIS DE LA DOTACIÓN DE CAMAS EN LA RED ASISTENCIAL DEL SEC TOR PÚBLICO","CARLA TARAMASCO TORO"
"ID16I10452","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DISEÑO DE UN SCREENING PRENATAL PARA EL DIAGNÓSTICO TEMPRANO DE PREECLAMPSIA BASADO EN LA DETECCIÓN BIOMARCADORES PLACENTARIOS Y ENDOTELIALES EN FLUIDOS ORALES DE EMBARAZADAS","ALEJANDRA CHAPARRO PADILLA"
"ID16I10453","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","UTILIZACIÓN DE EXTRACTO DE OLIVO RICO EN HIDROXITIROSOL COMO ADITIVO EN LA ALIMENTACIÓN DE SERIOLA L ALANDI","CARLOS HURTADO FERREIRA"
"ID16I10465","III CONCURSO IDEA EN DOS ETAPAS 2016","MINERIA","DESARROLLO DE UN EQUIPO DE ESPECTROSCOPÍA LASER APLICADO A LA DETERMINACIÓN DE ELEMENTOS VALIOSOS EN CONCENTRADOS DE COBRE","JORGE YAÑEZ SOLORZA"
"ID16I10466","III CONCURSO IDEA EN DOS ETAPAS 2016","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","PLATAFORMA TELEMÉTRICA CIBER-FÍSICA AUTOMATIZADA ALBERGADA EN LA NUBE PARA EL MONITOREO, CONTROL Y P ROTECCIÓN DE RECURSOS MARINOS USANDO ANÁLISIS Y PROCESAMIENTO DE DATOS PARA EL PRONÓSTICO DE EVENTOS","JINSONG WU"
"ID16I10468","III CONCURSO IDEA EN DOS ETAPAS 2016","ENERGIA Y AGUAS","MODELO PARTICIPATIVO DE GESTIÓN DE RECURSOS HÍDRICOS EN CONTEXTOS ISLEÑOS: BASES TERRITORIALES PARA DESARROLLAR PROCESOS DE ANCLAJE DE ACTORES, MODELOS MENTALES E IMÁGENES DE FUTURO DEL AGUA","FRANCISCO THER RIOS"
"ID16I10475","III CONCURSO IDEA EN DOS ETAPAS 2016","FORESTAL","CARACTERIZACIÓN DE LA MADERA DE PINUS RADIATA D.DON PROVENIENTE DE PLANTACIONES SINIESTRADAS PARA LA FABRICACIÓN DE PRODUCTOS DE ALTO VALOR AGREGADO","GERSON ROJAS ESPINOZA"
"CA13I10239","II CONCURSO CIENCIA APLICADA FONDEF  2013","AGROPECUARIA","BRASINOESTEROIDES ¿UNA ALTERNATIVA O COMPLEMENTO PARA EL USO DE áCIDO GIBERéLICO Y OTROS REGULADORES DE CRECIMIENTO EN LA PRODUCCIóN DE UVA DE MESA?","ALONSO PEREZ DONOSO"
"ID16I10484","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DISEÑO DE UN SISTEMA DE PRESERVACION DE SALMON FRESCO DESTINADO A EXPORTACION A PARTIR DE GELATINA O BTENIDA DESDE SUB-PRODUCTOS DE LA INDUSTRIA SALMONERA","PAULO DIAZ CALDERON"
"ID16I10500","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DESARROLLO DE UN TEST PRONÓSTICO PARA LMA INTERROGANDO POR PRIMERA VEZ AL ESTROMA TUMORAL","BRUNO NERVI NATTERO"
"ID16AM0006","PRIMER CONCURSO IDEA EN DOS ETAPAS TEMATICO EN ADULTO MAYOR","ADULTO MAYOR","EL MALTRATO ESTRUCTURAL A LAS PERSONAS MAYORES EN CHILE. FORMULACIÓN DE UN ÍNDICE MULTIDIMENSIONAL","CAROLINA RIVEROS"
"ID16AM0007","PRIMER CONCURSO IDEA EN DOS ETAPAS TEMATICO EN ADULTO MAYOR","ADULTO MAYOR","PROGRAMA PSICO-EDUCATIVO TRANSMEDIAL PARA MEJORAR ADHERENCIA FARMACOLÓGICA DEL TRATAMIENTO ANTIHIPER TENSIVO EN ADULTOS MAYORES: PROYECTO PILOTO","MARIA SEPULVEDA CARREÑO"
"ID16AM0046","PRIMER CONCURSO IDEA EN DOS ETAPAS TEMATICO EN ADULTO MAYOR","ADULTO MAYOR","PLATAFORMA INFORMÁTICA DE ANÁLISIS DE VARIABLES MÉDICAS Y PSICO-SOCIALES PARA LA CARACTERIZACIÓN, CA TEGORIZACIÓN Y MONITOREO DE ADULTOS MAYORES CON ENFERMEDADES CEREBRALES: UNA EXPERIENCIA DEMOSTRATIV A EN LA REGIÓN DE AYSÉN","JUAN VELASQUEZ SILVA"
"ID16AM0074","PRIMER CONCURSO IDEA EN DOS ETAPAS TEMATICO EN ADULTO MAYOR","ADULTO MAYOR","VEJEZ EMPRENDEDORA: MODELO DINAMIZADOR COMUNITARIO INTERINSTITUCIONAL PARA LA AUTOVALENCIA Y EL BIEN ESTAR SUBJETIVO DE LOS ADULTOS MAYORES","ESTER FECCI PEREZ"
"ID16AM0080","PRIMER CONCURSO IDEA EN DOS ETAPAS TEMATICO EN ADULTO MAYOR","ADULTO MAYOR","ESTIMULACIÓN COGNITIVA GUIADA POR SOFTWARE PREVIENE  EL DESARROLLO DE DELIRIUM EN EL ADULTO MAYOR","EDUARDO TOBAR ALMONACID"
"ID16AM0082","PRIMER CONCURSO IDEA EN DOS ETAPAS TEMATICO EN ADULTO MAYOR","ADULTO MAYOR","USO DE FITONUTRIENTES EN EL MEJORAMIENTO FUNCIONAL DE CÉLULAS MADRES MESENQUIMÁTICAS AFECTADAS POR E NVEJECIMIENTO.","NELSON EDUARDO OSSES RIVERA"
"IT16M10002","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","ESCALAMIENTO Y DESARROLLO DE UN PROTOTIPO DE BIOMINERALIZACIÓN APLICADA EN MINERÍA","DAVOR COTORAS TADIC"
"IT16M10005","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","DESARROLLO, EVALUACIÓN Y VALIDACIÓN TECNOLÓGICA A ESCALA SEMI-INDUSTRIAL DE UN MOTOR ELÉCTRICO DE AL TO RENDIMIENTO PARA AUMENTAR LA PRODUCCIÓN Y MEJORAR LA EFICIENCIA ENERGÉTICA EN MINERÍA","JUAN TAPIA LADINO"
"IT16M10006","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","TECNOLOGÍAS DE OPTIMIZACIÓN EN GESTIÓN DE PROYECTOS PARA LA RESOLUCIÓN DE PROBLEMAS DE PLANIFICACIÓN MINERA ESTRATÉGICA","EDUARDO MORENO ARAYA"
"IT16M10008","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","SISTEMA PREDICTIVO DE APOYO A LA GESTIÓN DE MANTENIMIENTO DE EQUIPAMIENTO MINERO BASADO EN HERRAMIEN TAS DE INTELIGENCIA COMPUTACIONAL","GONZALO ACUNA LEIVA"
"IT16M10012","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","SUPERVISIÓN Y CONTROL OPTIMIZANTE DE RELAVES EMPLEANDO TECNOLOGÍAS EMERGENTES","FELIPE NÚÑEZ RETAMAL"
"IT16M10014","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","BARRA INTERCELDA SEGMENTADA TRIPLE PARA ELECTRO-REFINACIÓN DE COBRE","EDUARDO WIECHMANN FERNANDEZ"
"IT16M10019","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","DESARROLLO DE MODELOS DE OPTIMIZACIÓN PARA LA PLANIFICACIÓN MINERA DE MEDIANO Y CORTO PLAZO.","RAFAEL EPSTEIN NUMHAUSER"
"IT16M10021","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","CARACTERIZACIÓN Y MODELAMIENTOS GEO MINERO METALÚRGICOS PREDICTIVOS: CAMINO A LA MINERÍA DEL FUTURO","BRIAN TOWNLEY CALLEJAS"
"IT16M10027","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","OBTENCIÓN DE CONCENTRADOS DE ELEMENTOS DE TIERRAS RARAS, A PARTIR DE MINERALES PROSPECTADOS EN LA II I REGIÓN DE CHILE, MEDIANTE LA APLICACIÓN DE PROCESOS A ESCALA PILOTO","PEDRO ORREGO ALFARO"
"IT16M10029","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","VALIDACIÓN DE UN SISTEMA OPTOELECTRÓNICO PARA EL MONITOREO Y CONTROL DE LA OPERACIÓN DE HORNOS DE FU SIÓN Y CONVERSIÓN INSTANTÁNEA EN LA PIROMETALURGIA NO FERROSA","ROBERTO PARRA FIGUEROA"
"IT16M10031","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","MAPA DE LA LÍNEA BASE GEOQUÍMICA PARA SUELOS EN LA COMUNA DE TALTAL: LIBAMETMAP SERVICES","ARTURO REYES ROMAN"
"IT16M10041","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","ABATIMIENTO  DE ARSÉNICO EN LA INDUSTRIA DEL COBRE UTILIZANDO MÉTODOS BIOTECNOLÓGICOS DE ÚLTIMA GENE RACIÓN: GENOMAS Y BIOINFORMÁTICA","JUAN ASENJO DE LEUZE"
"IT16M10045","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","TECNOLOGÍA DE INFORMACIÓN INDUSTRIAL, BASADA EN GESTIÓN DEL CONOCIMIENTO, PARA APOYAR LA TOMA DE DEC ISIONES EN LA OPERACIÓN DE PROCESOS INDUSTRIALES DE BIOLIXIVIACIÓN","CECILIA DEMERGASSO SEMENZATO"
"IT16I10003","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","INFRAESTRUCTURA","PROPUESTA DE ESTÁNDARES EN INFRAESTRUCTURA CRÍTICA PARA EDIFICACIONES Y VIVIENDAS LOCALIZADAS EN ZON AS DE INTERFAZ URBANO-FORESTAL, CON EL OBJETIVO DE MINIMIZAR EL NIVEL DE PELIGRO EN LA PROPAGACIÓN D EL FUEGO. AREA PILOTO: COMUNA DE SAN JOSÉ DE MAIPO","MIGUEL CASTILLO SOTO"
"IT16I10005","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","PESCA Y ACUICULTURA","PRODUCCIÓN MASIVA DE SEMILLAS DE NAVAJA (ENSIS MACHA) EN AMBIENTE CONTROLADO: VALIDACIÓN Y OPTIMIZAC IÓN DE LA TECNOLOGÍA DE CULTIVO.","CARLOS ESTRADA MUNZENMAYER"
"CA12I10374","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","AGROPECUARIA","BIO-OBTENCIÓN DE NANOPARTÍCULAS DE SELENIO ENCAPSULADAS EN POLISACARIDOS PARA SU POTENCIAL USO COMO SUPLEMENTO ALIMENTARIO","MARÍA MONDACA JARA"
"IT16I10008","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","INFRAESTRUCTURA","MODELO PARA EVALUAR LOS NIVELES DE SERVICIO DE CARRETERAS EN CHILE, IMPLEMENTABLE EN BASES DE LICITA CIÓN PARA NUEVAS CONCESIONES.","RODRIGO DELGADILLO STURLA"
"IT16I10010","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","DESARROLLO DE TECNOLOGÍAS PARA EL CONTROL DE LA EVASIÓN EN EL TRANSPORTE PÚBLICO.","JOSÉ CORREA"
"IT16I10022","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","PESCA Y ACUICULTURA","PRODUCCIÓN DE ALMEJAS (VENUS ANTIQUA) DE PEQUEÑO CALIBRE EN SISTEMAS DE CULTIVO SUSPENDIDOS: ALTERNA TIVA PRODUCTIVA PARA EMPRESAS CULTIVADORAS DE BIVALVOS.","HUGO ARANCIBIA FARIAS"
"IT16I10026","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","MINERIA","SISTEMA DE CARGUÍO AUTÓNOMO PARA CARGADORES FRONTALES DE BAJO PERFIL","JAVIER RUIZ DEL SOLAR SAN MARTIN"
"IT16I10038","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","PESCA Y ACUICULTURA","PRIMER SISTEMA DE CULTIVO INTEGRADO OUTDOOR AUTOSUSTENTABLE PRODUCTOR DE ALIMENTO PREMIUM EN ZONAS C OSTERAS DESÉRTICAS DE CHILE","YANETT LEYTON LOBOS"
"IT16I10039","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","EDUCACION Y CIENCIAS SOCIALES","LABORATORIO DE APRENDIZAJE LITORAL PARA LA TRANSICIÓN  SOCIO-TECNOLÓGICA EN CALETAS DE PESCADORES AR TESANALES DE CHILOÉ: APLICACIÓN PARTICIPATIVA DE MIMAPA","FRANCISCO THER RIOS"
"IT16I10044","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","EDUCACION Y CIENCIAS SOCIALES","TECNOLOGÍA PARA EL MEJORAMIENTO DE LA COMPRENSIÓN LECTORA EN ESTUDIANTES DEL SISTEMA ESCOLAR CHILENO .","CHRISTIAN SOTO FAJARDO"
"IT16I10051","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","SALUD","TUMORSEC: OPTIMIZACIÓN, VALIDACIÓN Y MASIFICACIÓN DE UN ENSAYO DE SECUENCIACIÓN DE GENES PARA MEJORA R LA PRECISIÓN DE TERAPIAS ONCOLÓGICAS.","KATHERINE MARCELAIN CUBILLOS"
"IT16I10055","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","PLATAFORMA INFORMÁTICA DE ANÁLISIS DE REDES SOCIALES PARA ESTUDIAR LA PREVALENCIA DE LA MARIHUANA Y ALCOHOL EN CHILE: UNA APLICACIÓN DE DATA MINING EN LA GENERACIÓN DE ALERTAS TEMPRANAS EN PREVENCIÓN DE ADICCIONES","JUAN VELASQUEZ SILVA"
"IT16I10057","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","PESCA Y ACUICULTURA","PRODUCCIÓN DE SAXITOXINA COMO MATERIAL DE REFERENCIA CERTIFICADO PARA LA VIGILANCIA Y CONTROL DE LAS INTOXICACIONES POR FENÓMENOS ALGALES NOCIVOS","ABEL VASQUEZ VELOSO"
"ID15I10554","II CONCURSO IDEA EN DOS ETAPAS, DE FONDEF DE CONICYT 2015","AGROPECUARIA","BASES CIENTíFICAS-TECNOLóGICAS PARA GENERAR UNA PROPUESTA DE REGULACIóN DE ENVASES PLáSTICOS RECICLA DOS POST-CONSUMO PARA SU USO EN CONTACTO DIRECTO CON ALIMENTOS","MARIA GALOTTO LOPEZ"
"IT16I10073","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","EDUCACION Y CIENCIAS SOCIALES","PROSECCIÓN ANATÓMICA EN RÉPLICAS Y RECONSTRUCCIONES 3D DE SECCIONES CORPORALES HUMANAS","OSCAR INZUNZA HERNANDEZ"
"CA13I10208","II CONCURSO CIENCIA APLICADA FONDEF  2013","AGROPECUARIA","ASEGURAMIENTO DE LA CALIDAD SANITARIA DE LILIUM A TRAVéS DE LA IMPLEMENTACIóN DE HERRAMIENTAS BIOTEC NOLóGICAS PARA LA IDENTIFICACIóN, DIAGNOSTICO Y SANEAMIENTO DE VIRUS Y PATóGENOS SUBVIRALES","INES ROSALES VILLAVICENCIO"
"IT16I10083","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","PESCA Y ACUICULTURA","PRODUCCIÓN DE CAMARÓN DE RÍO DEL NORTE CRYPHIOPS CAEMENTARIUS, BASADO EN EL DESARROLLO TECNOLÓGICO P ARA LA OBTENCIÓN DE JUVENILES  Y SELECCIÓN DE CARACTERÍSTICAS NOTABLES","MARIA MORALES SUAZO"
"IT16I10084","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","SALUD","DESARROLLO Y VALIDACIÓN DE UN PRODUCTO CELULAR ALOGÉNICO DERIVADO DE CÉLULAS MADRE ESTROMALES PARA S U USO EN SÍNDROME DE DISTRÉS RESPIRATORIO AGUDO","JIMENA CUENCA MORENO"
"IT16I10087","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","FORESTAL","EUCAHYDRO 2.0: MODELO PREDICTIVO DE SUSTENTABILIDAD HÍDRICA PARA DETERMINACIÓN DEL USO DE AGUA, EFIC IENCIA DEL USO DEL AGUA, USO EFICIENTE DEL AGUA Y RESISTENCIA A LA SEQUIA DE GENOTIPOS Y PLANTACIONE S DE EUCALYPTUS.","RAFAEL RUBILAR PONS"
