"","","","","","","","","",""
"PROYECTOS DE INVESTIGACION Y DESARROLLO DESDE EL AÑO 2000","","","","","","","","",""
"(Los montos están en miles $)","","","","","","","","",""
"","","","","","","","","",""
"CODIGO","AÑO CONCURSO","TITULO","PALABRA CLAVE 1","PALABRA CLAVE 2","PALABRA CLAVE 3","DIRECTOR GENERAL","FECHA INICIO","FECHA TERMINO","MONTO ADJ. FONDEF"
"D01I1053","2001","METODOLOGIA PARA MEJORAR EL PROCESO PRODUCTIVO DEL NISPERO JAPONES Y SUS POSIBILIDADES DE EXPORTACION EN FRESCO, INCREMENTANDO SU VALOR ECONOMICO Y SOCIAL","NISPERO JAPONES","PROCESO PRODUCTIVO","EXPORTACION EN FRESCO","EUGENIO LOPEZ LAPORT","4/9/2002","4/8/2007","179.000"
"D01I1054","2001","PROGRAMA DE INTRODUCCION, SELECCION Y PROPAGACION DE PORTAINJERTOS Y VARIEDADES DE PALTOS EN CHILE ","PALTO","PORTAINJERTOS","VARIEDADES","MONICA CASTRO VALDEBENITO","4/22/2002","4/22/2005","131.000"
"D01I1058","2001","DESARROLLO DE UN SISTEMA DE EVALUACION Y SEGUIMIENTO DEL DESEMPEÑO DE LA GESTION CLINICA DE LOS GRANDES HOSPITALES CHILENOS","SISTEMA DE EVALUACION","GESTION CLINICA","HOSPITALES","GABRIEL BASTIAS SILVA","7/1/2002","9/30/2004","232.000"
"D01I1060","2001","DESARROLLO DE ALIMENTOS PARA SUSTENTAR LAS BASES DE CULTIVOS DE ESPECIES NO TRADICIONALES DE PECES Y MOLUSCOS DE IMPORTANCIA COMERCIAL","NO TRADICIONAL","CULTIVO","ALIMENTO","ROBERT SIMPFEND RFER KAROW","5/2/2002","3/1/2005","185.000"
"D01I1064","2001","DESARROLLO DE LINEAS TRANSGENICAS DE VID CON RESISTENCIA A ENFERMEDADES FUNGOSAS ","TRANSGENIA DE VIDES","HONGOS FITOPATOGENOS","REDUCCION USO PESTICIDAS","HUMBERTO PRIETO ENCALADA","6/1/2002","5/31/2006","208.000"
"D01I1067","2001","USO CONVERGENTE DE CONTENIDOS AUDIOVISUALES E INTERNET EN EL AULA ESCOLAR ","AUDIOVISUAL","INTERNET","EDUCACION","CHRISTIAN WILLATT HERRERA","5/1/2002","4/30/2004","150.000"
"D01I1069","2001","DISEÑO Y EVALUACION DE ALIMENTOS SALUDABLES DESTINADOS AL ADULTO MAYOR ","ALIMENTOS SALUDABLES","NUTRICION","ADULTO MAYOR","NORA LUTZ RIQUELME","7/25/2002","1/31/2007","216.000"
"D01I1074","2001","DESARROLLO DE NUEVAS TECNICAS PARA LA PREVENCION Y CONTROL DE ENFERMEDADES INFECCIOSAS Y NO INFECCIOSAS EN LOS CULTIVOS DE ABALON","ABALON","ENFERMEDADES","CONTROL","VICTOR ENRIQUEZ SAIS","10/1/2002","10/31/2005","219.000"
"D01I1081","2001","MONITOREO PARA OPTIMIZACION DE PROCESOS Y CALIDAD DE SERVICIO ELECTRICO DE SISTEMAS INDUSTRIALES CON CONVERTIDORES DE POTENCIA","OPTIMIZACION","CALIDAD","PROCESOS","JORGE PONTT OLIVARES","4/8/2002","5/30/2004","157.000"
"D01I1082","2001","SISTEMA DE EXPERIMENTOS REMOTOS PARA ENSEÑANZA MEDIA EN FISICA, QUIMICA Y MATEMATICA ","EXPERIMENTACION","CIENCIAS EXACTAS","ENSEÑANZA","GASTON AGÜERO SOLER","4/8/2002","12/15/2004","230.000"
"D01I1091","2001","CONTROL SUPERVISOR VIRTUAL DE OPERACIONES PARA MINAS SUBTERRANEAS ","","","","FELISA CORDOVA GONZALEZ","6/1/2002","12/30/2006","200.000"
"D01I1092","2001","DESARROLLO DE TECNOLOGIAS PARA LA RECUPERACION DE VALORES METALICOS Y TRATAMIENTO DE RESIDUOS INDUSTRIALES LIQUIDOS GENERADOS POR LA MINERIA E INDUSTRIA","TECNOLOGIAS","RECUPERACION","TRATAMIENTO","MIGUEL MARDONES LILLO","4/3/2002","1/15/2004","134.000"
"D01I1099","2001","FABRICACION DE UN DISPOSITIVO PARA DISMINUIR LA DISTORSION DE LA CORRIENTE ELECTRICA ASOCIADA A RECTIFICADORES CA/CC","DISTORSION","CORRIENTE","RECTIFICACION CA/CC","MIGUEL VILLABLANCA MARTINEZ","5/1/2002","10/31/2006","182.000"
"D01I1107","2001","MANEJO Y CALIDAD DEL SALMON FRESCO DURANTE LAS FAENAS DE COSECHA, PROCESO, TRANSPORTE Y DISTRIBUCION","ATMOSFERA MODIFICADA","ENVASADO","SALMON SALAR","MARLENE ROECKEL VON BENNEWITZ","5/1/2002","8/20/2004","100.000"
"D01I1109","2001","DESARROLLO DE IMPLANTES DENTALES DE BAJO COSTO PARA ESTABILIZAR PROTESIS MANDIBULARES DE PACIENTES DESDENTADOS","IMPLANTES DENTALES","PROTESIS","DESDENTADOS","JORGE JOFRE ARAYA","6/1/2002","12/10/2006","157.000"
"D01I1110","2001","BIOTECNOLOGIA APLICADA A LA PRODUCCION DE CHORO ZAPATO (CHOROMYTILUS CHORUS) PARA POTENCIAR SU CULTIVO EN CHILE","BIOTECNOLOGIA","CHORO ZAPATO","CULTIVO","MARIA LEPEZ GARCIA","4/5/2002","12/4/2004","150.000"
"D01I1112","2001","NEUTRALIZACION DE GASES DE FUNDICION DE COBRE CON CALIZA EN UN SISTEMA COMBINADO DE LECHO FLUIDIZADO Y CICLONES","NEUTRALIZACION","GASES","FUNDICION","IGOR WILKOMIRSKY FUICA","8/1/2002","5/30/2008","295.000"
"D01I1113","2001","EXTRACCION DE SEDIMENTOS ACUMULADOS BAJO LOS CENTROS ACUICOLAS, MEDIANTE UN PROTOTIPO INDUSTRIAL DE VEHICULO SUBMARINO REMOTO (ROV) Y SU POSTERIOR UTILIZACION EN SISTEMAS AGRICOLAS:UNA ALTERNATIVA DE INTEGRACION PRODUCTIVA","ACUICULTURA","SEDIMENTOS","FERTILIZACION","MARCO SALAMANCA ORREGO","4/3/2002","1/31/2004","244.000"
"D01I1115","2001","DEGRADACION OXIDATIVA DE RESIDUOS, A TRAVES DE UN PROCESO CATALITICO EN FASE ACUOSA ","DEGRADACION OXIDATIVA","RESIDUOS","PROCESO CATALITICO","JULIO SEEGER STEIN","4/1/2002","8/1/2004","214.000"
"D01I1120","2001","DISEÑO DE METODOLOGIA EDUCACIONAL EN ALFABETIZACION FUNCIONAL PARA EL DESARROLLO LOCAL EN CONTEXTO INTERCULTURAL","ALFABETIZACION","INTERETNICO","DESARROLLO","ALEJANDRO VILLALOBOS CLAVERIA","12/1/2002","10/30/2006","85.000"
"D01I1121","2001","DESARROLLO Y APLICACIONES BIOTECNOLOGICAS PARA LA ELABORACION DE UN PROBIOTICO VAGINAL: UNA ALTERNATIVA PARA LA PREVENCION Y TRATAMIENTO DE INFECCIONES DEL TRACTO GENITAL FEMENINO","PROBIOTICO","SALUD","BIOTECNOLOGIA","ERICA CASTRO INOSTROZA","5/1/2002","5/31/2005","248.000"
"D01I1125","2001","PROTOTIPO DE BOYA MODULAR PARA EL MONITOREO CONTINUO DE VARIABLES OCEANOGRAFICAS ","ACUICULTURA","OCEANOGRAFIA","BOYA","MARCELO CARRO DONNA","6/1/2002","7/1/2006","211.000"
"D01I1127","2001","INVESTIGACION Y DESARROLLO BIOTECNOLOGICO PARA LA EXPORTACION DE CRUSTACEOS Y MOLUSCOS IN VIVO ","BIOTECNOLOGIA","EXPORTACION","IN VIVO","JAIME MERUANE ZUMELZU","7/1/2002","8/30/2004","165.000"
"D01I1131","2001","EVALUACION DE NUEVOS HIBRIDOS DE POPULUS CON FINES INDUSTRIALES Y DE PROTECCION AMBIENTAL. ETAPA I. SELECCION GENETICA PRELIMINAR","ALAMO","SELECCION-GENETICA","UTILIZACION-INDUSTRIAL","FRANCISCO ZAMUDIO ARANCIBIA","4/18/2002","4/17/2005","190.000"
"D01I1139","2001","DESARROLLO DE PRODUCTOS ORGANICOS Y FUNCIONALES EN BASE A LA AVELLANA(GEVUINA AVELLANA MOL) Y CREACION DE MERCADOS PARA SU CONSUMO","PRODUCTOS","AVELLANA","CONSUMO","ANGEL VIVALLO PINARE","4/26/2002","11/20/2004","100.000"
"D01I1140","2001","DESARROLLO DE SISTEMAS DE RIEGO DESTINADOS A AUMENTAR LA PRODUCTIVIDAD EN PLANTACIONES DE EUCALIPTO","RIEGO","PRODUCTIVIDAD","EUCALIPTO","GONZALO PUENTES SOTO","4/18/2002","9/18/2005","135.000"
"D01I1142","2001","INCREMENTO DE LA PRODUCCION EN LAS AREAS DE MANEJO A TRAVES DE LA INCORPORACION DE SEMILLAS DE ERIZO Y TALOS DE ALGAS","AREAS DE MANEJO","PRODUCCION","SEMILLAS Y TALOS","ARTURO CANDIA POZA","10/1/2002","10/1/2006","239.000"
"D01I1146","2001","INCORPORACION DE ZEOLITAS NATURLES COMO ADITIVOS EN LA ALIMENTACION DE SALMONES Y TRUCHAS DE CULTIVO: UN PROMOTOR DE LA EFICIENCIA ALIMENTARIA","ACUICULTURA","ALIMENTACION","ZEOLITAS","SERGIO CONTRERAS LYNCH","8/1/2002","2/28/2005","200.000"
"D01I1148","2001","DESARROLLO DEL CULTIVO DE PORPHYRA (LUCHE) EN LA X REGION  ","CULTIVO","ALGA","LUCHE","ARTURO CANDIA POZA","10/1/2002","6/20/2006","150.000"
"D01I1149","2001","HOMOLOGACION DE NORMA INTERNACIONAL IEC60601 A NORMA CHILENA PARA DISPOSITIVOS ELECTROMEDICOS Y DESARROLLO DE INSTRUMENTOS PARA DETERMINACION DE SEGURIDAD Y DESEMPEÑO DE DISPOSITIVOS DE USO CRITICO","NORMA ELECTROMEDICA","SEGURIDAD Y DESEMPEÑO","DISPOSITIVOS MEDICOS","ANTONIO GLARIA BENGOECHEA","6/17/2002","1/15/2006","206.000"
"D01I1151","2001","INVESTIGACION Y DESARROLLO TECNOLOGICO DE PROCESAMIENTO DE ALGAS NATIVAS CHILENAS DE INTERES COMERCIAL PARA CONSUMO HUMANO","ALGAS MARINAS","PROCESAMIENTO","ALIMENTO HUMANO","LUCIA DE LA FUENTE JIMENEZ","5/2/2002","10/2/2004","188.000"
"D01I1155","2001","DESARROLLO DE TECNOLOGIAS PARA LA GENERACION DE UNA OFERTA DIVERSIFICADA DE ESPECIES LEÑOSAS PARA EL MANEJO SUSTENTABLE DE LOS BOSQUES NATIVOS DE CHILE","PLANTAS","OFERTA","BOSQUE NATIVO","SERGIO DONOSO ZEGERS","5/15/2002","5/14/2005","150.000"
"D01I1160","2001","BIORREDUCCION DEL PITCH (RESINA) EN MADERA DE PINO RADIATA ","BIOREDUCCION DE RESINAS","MANCHA CAFE","MADERA ASERRADA","JOSE NAVARRETE ARAYA","4/1/2002","8/30/2005","230.000"
"D01I1161","2001","DESARROLLO EXPERIMENTAL DE ESPECIFICACIONES TECNICAS PARA EL MEJORAMIENTO HIGROTERMICO DE MUROS DE ALBAÑILERIA DE LADRILLO Y HORMIGON","AISLACION HIGROTERMICA","MUROS","EDIFICACION","LUIS BOBADILLA MORENO","5/6/2002","8/6/2005","190.000"
"D01I1163","2001","DESARROLLO DE LA TECNOLOGIA PARA LA PRODUCCION DE SEMILLAS DE PECTINIDOS AUSTRALES CON IMPORTANCIA COMERCIAL(CHLAMYS PATAGONICA Y CHLAMYS VITREA) EN MAGALLANES","HATCHERY","SEMILLA","OSTIONES DEL SUR","PABLO GALLARDO OJEDA","3/14/2002","8/31/2005","237.000"
"D01I1164","2001","PRODUCCION DE HARINA DE LA MACROALGA (MACROCYSTIS PYRIFERA) Y SU UTILIZACION COMO INGREDIENTE PARA ALIMENTACION DE SALMONIDOS EN LA REGION DE MAGALLANES Y ANTARTICA CHILENA","TECNOLOGIA","EXTRACCION","HARINA DE ALGAS","ANDRES MANSILLA MUNOZ","4/1/2002","5/30/2005","220.000"
"D01I1165","2001","CARACTERIZACION Y APROVECHAMIENTO INTEGRAL DE LA ENERGIA DEL VIENTO EN CHILE ","CARACTERIZACION","APROVECHAMIENTO","EOLICO","ARTURO KUNSTMANN FERRERIA","4/1/2002","10/31/2004","152.000"
"D01I1166","2001","DESARROLLO DE PRODUCTOS DE ORIGEN MICROBIANO PARA EL CONTROL DEL BIOFOULING EN LA INDUSTRIA ACUICOLA ","ANTIFOULING","BIOFOULING","ACUICULTURA","MARIA CLARKE GUERRA","5/2/2002","11/1/2004","229.000"
"D01I1168","2001","HONGOS MICORRICICOS COMESTIBLES: UNA ALTERNATIVA PARA MEJORAR LA RENTABILIDAD DE PLANTACIONES FORESTALES","MICORRIZAS","COMESTIBLES","FORESTAL","PATRICIO CHUNG GUIN-PO","5/2/2002","11/2/2005","150.000"
"D02I1003","2002","TECNOLOGIAS DE PRODUCCION DE HONGOS COMESTIBLES DE IMPORTANCIA COMERCIAL EN EL MERCADO INTERNACIONAL ","PRODUCCION","HONGOS","INTERNACIONAL","EDUARDO VALENZUELA FLORES","5/12/2003","7/30/2006","150.000"
"D02I1005","2002","FORTALECIMIENTO DE SECTORES PRODUCTIVOS Y DE SERVICIOS DEL MEDIO RURAL DE LA IX REGION MEDIANTE LA PREVENCION DEL HANTAVIRUS POR EL DISEÑO Y APLICACION DE MECANISMOS DE CONTROL BIOLOGICO Y DE TRANSFERENCIA TECNOLOGICA","HANTAVIRUS","CONTROL BIOLOGICO","TRANSFERENCIA","ROBERTO MURUA BARBENZA","6/30/2003","12/30/2006","169.000"
"D02I1006","2002","SIMULACION PARA LA GESTION Y ENTRENAMIENTO DE SITUACIONES DE EMERGENCIA - (SIGEM) ","EMERGENCIAS","ENTRENAMIENTO","SIMULACION","BOSCO PESSE QUAPPE","7/25/2003","7/24/2005","204.000"
"D02I1007","2002","INVESTIGACION, DESARROLLO Y PRODUCCION DE MATERIAL DE REFERENCIA EN VINOS: UNA FORMA EFECTIVA PARA MEJORAR LA CALIDAD Y COMPETITIVIDAD DE LA INDUSTRIA VITIVINICOLA CHILENA","VINOS","CALIDAD","COMPETITIVIDAD","GABRIELA MASSIFF DE LA FUENTE","7/20/2003","7/19/2006","200.000"
"D02I1008","2002","NUEVO EQUIPO PARA EL ESTUDIO DE LA DINAMICA DE PATOLOGIAS DEL CEREBRO MEDIANTE TECNICAS DE SPECT ","CIENCIA","TECNOLOGIA","DESARROLLO","VIKTOR SLÜSARENKO STACHNIW","8/1/2003","9/30/2007","260.000"
"D02I1009","2002","DESARROLLO DE TECNOLOGIA PARA EL CULTIVO DE CELULAS DE PIEL PARA TRANSPLANTE AUTOLOGO ","MICROENCAPSULACION","PIEL","TRANSPLANTE","MANUEL YOUNG ANZE","6/2/2003","4/30/2008","210.000"
"D02I1015","2002","DESARROLLO DE SISTEMA DE GESTION PARA MEJORAR LA COMPETITIVIDAD DE PALTA CHILENA: APLICACION EN TECNOLOGIAS DE POSTCOSECHA","GESTION","PALTA","POSTCOSECHA","REINALDO CAMPOS VARGAS","7/1/2003","8/31/2006","157.000"
"D02I1016","2002","DESARROLLO TECNOLOGICO Y COMERCIAL PARA LA FABRICACION DE TABLEROS DECORATIVOS DE BAMBU CON ESPECIES AUTOCTONAS","BAMBU","TABLEROS","DECORATIVOS","CARLOS KAHLER GONZALEZ","8/1/2003","3/31/2006","151.000"
"D02I1017","2002","ACTUALIZACION Y PROFUNDIZACION PEDAGOGICA PARA DOCENTES DE EDUCACION TECNICA MEDIA Y POSTMEDIA E INSTRUCTORES DE CAPACITACION","EDUCACION","TECNICO-PROFESIONAL","TRANSFERENCIA","PAMELA MARQUEZ PAUCHARD","4/1/2003","5/31/2005","110.000"
"D02I1019","2002","OPTIMIZACION TECNOLOGICA PARA LA PRODUCCION DE JUVENILES DE MERLUZA AUSTRAL(MERLUCCIUS AUSTRALIS) EN SISTEMA CONTROLADO","CULTIVO","MERLUZA","OPTIMIZACION","ALBERTO AUGSBURGER BACHMANN","9/1/2003","8/31/2005","120.000"
"D02I1024","2002","PRODUCTOS TERAPEUTICOS PARA LA DISFUNCION ERECTIL E INSUFICIENCIA CARDIACA A PARTIR DEL VENENO PURIFICADO DE LATRODECTUS MACTANS DE CHILE","SINTESIS","NEUROPEPTIDO","FARMACOLOGIA","FERNANDO ROMERO MEJIA","7/15/2003","4/30/2007","266.000"
"D02I1027","2002","HACIA EL DESARROLLO DEL CASTAÑO FORESTAL EN CHILE  ","DESARROLLO","CASTAÑO","FORESTAL","SUSANA BENEDETTI RUIZ","5/1/2003","9/30/2007","144.000"
"D02I1028","2002","DESARROLLO DE UN MODELO DE GESTION DE LA RESPONSABILIDAD SOCIAL EMPRESARIAL COMO HERRAMIENTA PARA MEJORAR LA COMPETITIVIDAD DE EMPRESAS E INSTITUCIONES EN PAISES EMERGENTES","RESPONSABILIDAD SOCIAL EMPRESA","MODELO DE GESTION","COMPETITIVIDAD","DANTE PESCE GONZALEZ","4/30/2003","5/31/2005","120.000"
"D02I1030","2002","NUEVAS OPORTUNIDADES PARA LA PRODUCCION INTENSIVA Y PRECOZ DE CEREZAS: FORMULACION Y VALIDACION TECNOLOGICA EN AREAS CON DIFERENTE ACUMULACION DE FRIO INVERNAL","OPORTUNIDADES","CEREZOS","TECNOLOGIA","EDUARDO GRATACOS NARANJO","5/13/2003","5/12/2007","185.000"
"D02I1035","2002","MECIBA, UN MODELO DE DESARROLLO PROFESIONAL DOCENTE ENTRE PARES PARA FORTALECER LA CALIDAD DE LA ENSEÑANZA DE LAS CIENCIAS NATURALES EN KINDER Y ENSEÑANZA BASICA","DESARROLLO PROFESIONAL DOCENTE","MEJORAMIENTO DE LA CALIDAD","ENSEÑANZA DE LAS CIENCIAS","JAVIER MARTINEZ MARDONES","7/1/2003","10/30/2006","120.000"
"D02I1039","2002","EVALUACION DE UN MODELO DE IDENTIFICACION Y EDUCACION DE ESCOLARES CON TALENTOS ACADEMICOS PARA SU TRANSFERENCIA A ORGANISMOS EDUCACIONALES EN CHILE Y LATINOAMERICA","EDUCACION","EVALUACION","TALENTO ACADEMICO","VIOLETA ARANCIBIA CLAVEL","5/5/2003","3/31/2006","200.000"
"D02I1041","2002","TECNOLOGIA, ARQUITECTURA Y DISEÑO URBANO PARA UNA NUEVA VIVIENDA SOCIAL ","VIVIENDA SOCIAL","DENSIFICACION","ESTRUCTURAS","ALEJANDRO ARAVENA MORI","5/13/2003","9/13/2007","268.000"
"D02I1043","2002","EFECTOS DE EXTRACTOS DE QUILLAY EN CRECIMIENTO Y METABOLISMO DE SALMONES ","SAPONINAS","METABOLISMO","SALMON","RICARDO SAN MARTIN GAMBOA","5/5/2003","12/6/2004","96.000"
"D02I1045","2002","RED NACIONAL DE VITICULTURA DE PRECISION  ","AGRICULTURA DE PRECISION","VITIVINICULTURA","TECNOLOGIA","SAMUEL ORTEGA FARIAS","5/15/2003","5/15/2006","174.000"
"D02I1049","2002","TUTORIAS INTERACTIVAS EN MATEMATICAS USANDO ESTRATEGIAS DIDACTICAS EMERGIDAS DE HALLAZGOS RECIENTES EN NEUROCIENCIA COGNITIVA DE APRENDIZAJE MATEMATICO","TUTORIAS","MATEMATICAS","NEUROCIENCIA","PABLO DARTNELL ROY","7/1/2003","7/30/2006","180.000"
"D02I1054","2002","SERVICIOS Y APLICACIONES DE ALTO RENDIMIENTO SOBRE REDES DE TERCERA GENERACION ","REDES","INVESTIGACION","EDUCACION","SANDRA JAQUE FIGUEROA","5/13/2003","12/27/2005","270.000"
"D02I1058","2002","CONTROL Y PREDICCION DEL ABLANDAMIENTO PRECOZ DEL KIWI CHILENO DE EXPORTACION ","MANEJO","ABLANDAMIENTO","PRONOSTICO","TOMAS COOPER CORTES","4/10/2003","9/9/2008","300.000"
"D02I1060","2002","DISEÑO, APLICACION Y TRANSFERENCIA DE MODELOS DE INTERVENCION EDUCATIVA PARA ADOLESCENTES INFRACTORES DE LEY PENAL, EN EL MARCO DE LA EJECUCION DE SANCIONES O MEDIDAS NO PRIVATIVAS DE LIBERT","EDUCACION","PARA JOVENES","INFRACTORES","OSVALDO VAZQUEZ ROSSONI","6/1/2003","8/31/2005","167.000"
"D02I1062","2002","DISEÑO DE UN MODELO DE AUTOAPRENDIZAJE EN BASE A COMPETENCIAS SOBRE PLATAFORMA TI PARA NIVELAR LA EDUCACION DE ADULTOS: FACTOR CRITICO PARA AUMENTAR LA COMPETITIVIDAD DE SECTORES PRODUCTIVOS ESTRATE","COMPETENCIAS","AUTOAPRENDIZAJE","COMPETITIVIDAD","CARLOS HINRICHSEN DELANO","5/5/2003","1/30/2006","200.000"
"D02I1064","2002","DESARROLLO DE LAS HERRAMIENTAS DE DISEÑO, IMPLEMENTACION Y GESTION PARA LA EDUCACION A DISTANCIA SOPORTADA POR LAS TECNOLOGIAS DE INFOCOMUNICACION","DESARROLLO","EDUCACION","DISTANCIA","CLAUDIA BASS DEL CAMPO","5/6/2003","11/5/2005","239.000"
"D02I1066","2002","DISEÑO DE UN MODELO DE EVALUACION DE LA CALIDAD EDUCATIVA PARA CENTROS ESCOLARES, BASADO EN UNA CONCEPCION DESCENTRALIZADA DE LA EVALUACION, LA INTERVENCION Y LA RENDICION DE CUENTAS A LA COMUNIDAD","EVALUACION","EFICACIA","ACCOUNTABILITY","IVAN ORTIZ CACERES","5/5/2003","6/30/2007","179.000"
"D02I1067","2002","DESARROLLO DE CEPAS BACTERIANAS ATENUADAS COMO VACUNAS ORALES VIVAS Y PRODUCCION DE ANTIGENOS RECOMBINANTES PARA INMUNIZACION CONTRA PATOGENOS HUMANOS Y ANIMALES","SALMONELLA ATENUADA","VACUNA ORAL VIVA","ANTIGENOS RECOMBINANTES","HECTOR VENEGAS ESPARZA","7/29/2003","7/15/2007","291.000"
"D02I1070","2002","DISEÑO DE UN INSTRUMENTO PARA LA MEDICION OBJETIVA DEL COLOR DEL MUSCULO, GRASA INTRAMUSCULAR Y TEXTURA PARA DETERMINACION DE PARAMETROS DE CALIDAD EN CARNES ROJAS","INSTRUMENTO","CALIDAD","CARNE ROJA","GERDA TOMIC STEFANIN","8/4/2003","3/20/2007","171.000"
"D02I1077","2002","SISTEMAS DE CONTROL OPTIMIZANTE PARA PLANTAS DE MOLIENDA SEMIAUTOGENA ","MOLIENDA","MINERALES","CONTROL","LUIS MAGNE ORTEGA","6/1/2003","3/31/2006","320.000"
"D02I1080","2002","INCORPORACION DE LOS BOSQUES DE COIHUE DE MAGALLANES AL MANEJO FORESTAL PARA LA DIVERSIFICACION E INCREMENTO DE LA PRODUCCION EN LA XII REGION","FORESTAL","SILVICULTURA","PRODUCCION FORESTAL","GUSTAVO CRUZ MADARIAGA","9/1/2003","8/31/2007","260.000"
"D02I1083","2002","DESARROLLO EXPERIMENTAL Y FUNDAMENTOS CIENTIFICOS DE GEOQUIMICA DE EXTRACCION PARCIAL Y BIOGEOQUIMICA EN LA PROSPECCION MINERA DE ZONAS CUBIERTAS: APLICACIONES DE DEPOSITOS DE PORFIDO CUPRIFERO CHILENOS","PROSPECCION","GEOQUIMICA","BIOGEOQUIMICA","BRIAN TOWNLEY CALLEJAS","6/1/2003","4/30/2007","200.000"
"D02I1086","2002","FACTIBILIDAD DE BIOPULPAJE KRAFT APLICADO A ESPECIES DEL GENERO EUCALYPTUS ","BIOTECNOLOGIA","PULPAJE","EUCALIPTO","JAVIER GONZALEZ MOLINA","7/14/2003","5/31/2006","200.000"
"D02I1087","2002","DESARROLLO DE HERRAMIENTAS PARA LA ARTICULACION DE UN MERCADO DE CAPITALES ORIENTADO A LA MEDIANA MINERIA EN CHILE","HERRAMIENTAS","MERCADO DE CAPITALES","MINERIA","CRISTIÁN MOSCOSO WALLACE","5/5/2003","9/30/2006","200.000"
"D02I1088","2002","INVESTIGACION Y DESARROLLO DE VACUNAS BIOLOGICAS PARA INMUNOTERAPIA ONCOLOGICA ","CANCER","INMUNOTERAPIA","CELULAS DENDRITICAS","FLAVIO SALAZAR ONFRAY","4/1/2003","3/31/2006","310.000"
"D02I1089","2002","INVESTIGACION APLICADA EN TECNOLOGIAS PARA INTERFASES HOMBRE-MAQUINA POR VOZ ","INTERFACES HOMBRE-MAQUINA VOZ","TECNOLOGIAS DE PROCESAMIENTO","DSP DIGITAL SIGNAL PROCESSING","NESTOR BECERRA YOMA","6/1/2003","4/30/2007","180.000"
"D02I1090","2002","ESTANDARES PARA LA FORMACION EN CIENCIAS DE PROFESORES DE ENSEÑANZA MEDIA ","ESTANDARES","PROFESORES","CIENCIAS","PATRICIO FELMER AICHELE","8/14/2003","1/15/2006","120.000"
"D02I1094","2002","OPTIMIZACION DEL CULTIVO DE LENGUADO CHILENO MEDIANTE LA UTILIZACION DE HERRAMIENTAS BIOTECNOLOGICAS, NUTRICIONALES Y REPRODUCTIVAS","LENGUADO","ACUICULTURA","BIOTECNOLOGIA","SHEILA COMTE SELMAN","7/1/2003","11/30/2005","200.000"
"D02I1095","2002","OPTIMIZACION DE LA PRODUCCION AMBIENTALMENTE LIMPIA DE TRIPLOIDES DE OSTION DEL NORTE, AGROPECTEN PURPURATUS","MANIPULACION CROMOSOMICA","OSTIONES","RECIRCULACION","ELISABETH VON BRAND SKOPNIK","7/21/2003","7/21/2006","218.000"
"D02I1097","2002","DESARROLLO DE TECNOLOGIAS PARA LA OPTIMIZACION DE LA OFERTA ALIMENTARIA DE SEMILLAS DE ABALON A PARTIR DE MICROORGANISMOS BENTONICOS","ABALON","MICROORGANISMOS","ACUICULTURA","RUBEN ARAYA VALENCIA","4/21/2003","7/30/2006","150.000"
"D02I1098","2002","OPTIMIZACION DE TECNOLOGIAS PARA LA CAPTACION NATURAL DE SEMILLAS DE ARGOPECTEN PURPURATUS EN EL NORTE DE CHILE","OSTION","MICROBIOLOGIZACION","ACUICULTURA","MIGUEL AVENDAÑO DIAZ","5/2/2003","11/1/2005","200.000"
"D02I1101","2002","INFLUENCIA DE GASES OXIDANTES EN LA FLOTACION DE MINERALES Y EN EL AGUA DE PROCESO ","GASES","FLOTACION","AGUA","GERARDO CIFUENTES MOLINA","6/1/2003","9/30/2006","220.000"
"D02I1104","2002","METODOLOGIA Y SISTEMAS PARA LA OPTIMIZACION DE LA CADENA LOGISTICA PORTUARIA ","LOGISTICA","TECNOLOGIA DE LA INFORMACION","TRANSFERENCIA METODOLOGICA","SERGIO FLORES URQUIZA","6/1/2003","11/30/2005","189.000"
"D02I1108","2002","USO DE FOTOCATALISIS HETEROGENEA PARA EL TRATAMIENTO DE AGUA EN SISTEMAS DE RECIRCULACION EN LA ACUICULTURA INTENSIVA NACIONAL","ACUICULTURA","RECIRCULACION","FOTOCATALISIS","PABLO VENEGAS CABELLO","7/7/2003","12/15/2005","180.000"
"D02I1111","2002","GENOTIPIFICACION DE CEPAS ENDEMICAS DE M. BOVIS Y VALIDACION DIAGNOSTICA DE ELISA-PCR PARA TUBERCULOSIS BOVINA: APLICACION EN PROGRAMAS EPIDEMIOLOGICOS Y DE CERTIFICACION DE REBAÑOS","GENOTIPIFICACION","M. BOVIS","CERTIFICACION","ANA ZARRAGA OLAVARRIA","6/18/2003","6/15/2007","140.000"
"D02I1117","2002","INCREMENTO DEL NEGOCIO FORESTAL A TRAVES DE MODELOS DE MANEJO Y DE GESTION INNOVATIVA PARA LA PYME FORESTAL","GESTION","INNOVATIVA","FORESTAL","JUAN PINILLA SUAREZ","5/2/2003","3/1/2007","195.000"
"D02I1121","2002","INVESTIGACION SOBRE ENRIQUECIMIENTO PROTEICO DE ALGAS NATIVAS PARA USO EN SUPLEMENTO DE DIETAS ANIMALES Y COMO ESTIMULADORES DE DESARROLLO DE VEGETALES","ALGAS","ENRIQUECIMIENTO","PROTEINAS","MARCOS CRUZ MELO","5/26/2003","11/30/2005","247.000"
