project_code,year,title,director,keywords,amount,area,start_date,end_date
D09I1070,2010,Análisis Y Generación De Base De Datos De Potencial Energético Y Emisiones Contaminantes De Biocombu Stibles De Interés Nacional,Francisco Cereceda Balic,"Biocombustibles Líquidos, Emisiones Contaminantes, Potencial Energético",540314.0,Tic,5/1/2011,5/1/2015
D09I1081,2010,Desarrollo E Introducción Del Sistema De Edificación Pasiva En Chile.,Ricardo Hempel Holzapfel,"Ahorro Energético, Casa P, Mejorar Clima Interior De, Proteger Medio Ambiente,",188333.0,Tic,3/1/2011,3/1/2014
D09I1085,2010,Evaluación Y Desarrollo De Una Orphan Drug  De Origen Botanico Para El Tratamiento De La Esclerosis Múltiple,Juan Hancke Orozco,"Esclerosis Múltiple, Tratamiento, Orphan Drug",237595.0,Otros,12/20/2010,9/30/2014
D09I1094,2010,Redes Inalámbricas De Sensores Con Tecnologías De Múltiples Antenas,Christian Oberli,"Redes Inalámbricas De Sen, Comunicaciones Mimo, Diseño De Circuitos Integ",223498.0,Tic,12/16/2010,5/30/2014
D09I1104,2010,Generacion Y Desarrollo De Nuevos Fármacos Para El Tratamiento De Cánceres Dependientes Del Egfr,Alfonso González De La Rosa,"Cáncer, Receptor Del Factor De Cr, Endocitosis",389248.0,Energía,4/1/2011,4/1/2014
D09I1125,2010,Formulados De Expansinas Para Aumentar El Rendimiento En Trigo,Daniel Calderini Rosso,"Expansinas, Trigo, Rendimiento Y Calidad",353621.0,Otros,4/1/2011,4/1/2016
D09I1136,2010,Programa Chile-Italia De Mejoramiento /NgenTico Del Kiwi Apoyado En La /Nselecciàn Asistida Por Mar Cadores,Rodrigo Infante Espiñeira,"Kiwi, Mejoramiento Genético, Sel Asistida Por Marcador",549385.0,Tic,3/22/2011,3/22/2017
D09I1153,2010,'Desarrollo Biotecnológico Para El Cultivo Sustentable Del Pulpo Patagónico (Enteroctopus Megalocyat Hus),Iker Uriarte Merino,"Paralarvas Y Juveniles, Péptidos Bioactivos, Sistema Inmune",261315.0,Agropecuaria,4/1/2011,4/1/2015
D09I1160,2010,"Producción De Larvas De Anguila Común (Ophichthus Remiger)  A Partir De Un Stock De Reproductores, M Ediante Utilización De Dietas Enriquecidas, Control Microbiológico Y Sistemas De Cultivo En Recircul Ación Para El Acondicionamiento Reproductivo.",Fernando Valenzuela Picon,"Anguila, Acondicionamiento Reprodu, Obtencion De Larvas",302576.0,Agropecuaria,3/1/2011,12/30/2013
D09I1162,2010,Diseño Y Aplicación De Un Sistema De Aseguramiento De Calidad Para Obras De Construcción Habitaciona L En Chile Basado En Criterios Y Estándares De Desempeño (Performance),Leonardo Veas Perez,"Calidad, Prestacional, Vivienda",315650.0,Infraestructura,4/14/2011,5/30/2013
D09I1171,2010,Adapte: Adaptable Domain And Process Technology Engineering,María Bastarrica Piñeyro,"Software Process Improvem, Process Tailoring, Software Process Lines",304540.0,Tic,3/1/2011,3/1/2014
D09I1173,2010,Implementacion De Procesos De Co-Combustion De Carbon Y Biomasa En Chile: Estudio De Factibilidad Te Cnica Y Economica,Ximena Garcia Carmona,"Co Combustión, Carbón/Biomasa, Termogeneración Eléctrica",343836.0,Manufactura,12/20/2010,12/20/2013
D09I1174,2010,Desarrollo De Materiales Para Recapados Asfálticos Utilizados En La Rehabilitación De Pavimentos Det Eriorados,Carlos Wahr Daniel,"Asfalto, Recapados, Pavimentos",320256.0,Tic,1/3/2011,3/31/2014
D09I1185,2010,Observatorios Escalables De La Web En Tiempo Real,Mauricio Marin Chaihuan,"Recuperacion De Informaci, Algoritmos Y Estructuras, Minería De Datos",327289.0,Tic,3/15/2011,3/14/2014
D09I1188,2010,"Declaración Ambiental De Productos Certificada, Iso 14025, Para El Cobre Y Productos De Cobre.",Claudio Zaror Zaror,"Epd, Dap, Declaración Amb, Iso14025, Ecoetiquetado C, Ecoetiquetado Iso Tipo Ii",305454.0,Minería,12/20/2010,4/30/2014
D09I1190,2010,Desarrollo De Un Sistema De Expresión Optimizado Para La Producción De Anticuerpos Terapéuticos,Juan Aguillon Gutierrez,"Biofarmacos, Sistema De Expresión De B, Inmunobiotecnología",638553.0,Salud,12/30/2010,12/30/2015
D09I1195,2010,Materiales Biodegradables En Base A Almidón Para Su Utilización En La Agroindustria Nacional,Alvaro Maldonado Mendoza,"Plasticos, Biodegradable, Almidon",275638.0,Agropecuaria,12/29/2010,4/30/2014
D09I1200,2010,Obtención De Terpenos Con Actividad Antimicótica Desde Trementina Al Sulfato Para El Tratamiento De Candidiasis Oral.,Ninon Rojas Borquez,"Candidiasis, Estomatitis Subpr, Desulfurización",395165.0,Agropecuaria,4/1/2011,4/1/2014
D09I1207,2010,Diseño Y Evaluación De Procesos Para La Extracción Y Purificación De Carotenoides Y Ácidos Grasos W- 3 Y W-6 De Microalgas Usando Dióxido De Carbono Supercrítico,Jose Del Valle Lladser,"Microlagas, Aceite De Pescado, Dioxido De Carbono Superc",389026.0,Pesca Y Acuicultura,3/18/2011,3/18/2014
D09I1222,2010,Optimización De Las Características Saludables De La Dieta De Escolares De Primer Año Básico De La C Omuna De Quillota Con El Objetivo De Disminuir El Riesgo Cardiovascular,Nora Lutz Riquelme,"Riesgo Cardiovascular, Alimentos Saludables, Programas Alimentarios",298299.0,Salud,3/1/2011,3/1/2014
D09I1235,2010,Atomización Ultrasónica Y Sus Aplicaciones Agrícolas E Industriales,Luis Gaete Garreton,"Atomización Ultrasónica, Agroindustria, Ahorro De, Desalinización Agua",358572.0,Agropecuaria,12/20/2010,7/18/2014
D09I1238,2010,Construcción Y Estandarización De Instrumentos De Evaluación Psicométrica Para El Desarrollo De Una Cultura De Evaluación Ética Y Rigurosa.,Ricardo Rosas Diaz,"Evaluación, Psicológica, Instrumentos",204953.0,Tic,5/1/2011,11/1/2012
D09I1240,2010,Desarrollo De Nanotecnologías Como Herramientas De Selección Genética Para La Fabricación De Celulos A Premium.,William Gacitua Escobar,"Nanoindentaciones, Silvicultura Clonal De Pr, Daño Mecánico De Fibras D",440095.0,Forestal,1/4/2011,1/4/2014
D09I1256,2010,"La Dieta Viva Artemia: Un Recurso Local Estratégico Para La Sustentabilidad, Bio-Seguridad Y Costo-E Fectividad Del Programa De Diversificación De La Acuicultura Chilena",Gonzalo Gajardo Galvez,"Artemia, Cepario, Diversificación Acuicola",343257.0,Agropecuaria,1/3/2011,6/30/2014
D09I1262,2010,Innovar En La Tecnología De Proceso Para La Producción De Proteínas Recombinantes Complejas En La Le Che De Mamíferos No Transgénicos. Producción De Eritropoyetina Humana Recombinante Para Su Uso Como Biofármaco,Jorge Toledo Alonso,"Tecnología De Procesos, Biofármacos, Eritropoyetina Humana",418547.0,Manufactura,1/2/2011,1/2/2015
D10I1002,2010,Tecnología Avanzada Para Ciudades Del Futuro,Marcela Munizaga Muñoz,"Transporte Público, Planificación Urbana, Gestión Urbana",319395.0,Otros,12/1/2011,12/1/2014
D10I1006,2010,Desarrollo De Una Herramienta De Control Biológico A Partir De Rizobacterias Nativas De La Zona Cent Ral De Chile,Erwin Aballay Espinoza,"Rizobacterias, Bioantagonistas, Nematodos",115225.0,Salud,12/1/2011,12/1/2014
D10I1007,2010,"Genomica De La Poblacion Chilena: Obtencion De Perfiles Geneticos Necesarios En Investigacion Clinic A, Salud Publica Y Medicina Forense.",Lucia Cifuentes Ovalle,"Perfiles Genéticos, Población Chillena, Medicina Genómica",353214.0,Salud,1/2/2012,1/2/2015
D10I1011,2010,Formación De Competencias Comerciales Y Financieras En Pequeños Empresarios Y Su Evaluación Experime Ntal,Claudio Bravo Ortega,"Competencia, Empresa, Experimento",267109.0,Otros,12/22/2011,12/22/2014
D10I1022,2010,Uso De Ingeniería Metabólica Para El Desarrollo De Plántulas De Manzano Que Poseen  Genes Para La Sí Ntesis De Vitamina A Y Antioxidantes En Los Frutos.,Claudia Stange Klein,"Genes Carotenogénicos, B-Caroteno, Manzana",221482.0,Alimentos,11/8/2011,11/8/2014
D10I1025,2010,Establecimiento De Clases De Infiltración Aceptable De Edificios Para Chile.,Luis Bobadilla Moreno,"Eficiencia Energética, Construcción, Infiltraciones De Aire",320126.0,Tic,12/7/2011,6/7/2014
D10I1027,2010,Desarrollo De Plataforma De Amenaza Sísmica Para El Norte De Chile Y Propuesta De Actualización De N Ormas  De Diseño Sismo-Resistente: Análisis De Los Efectos Del Terremoto Del Maule 2010 Y Caracteriz Ación De Terremotos Tipo En El Segmento Taltal-Arica,Gonzalo Yañez Carrizo,"Sísmico, Amenaza, Normas",346340.0,Otros,5/15/2012,5/15/2015
D10I1034,2010,Sistema De Gestión Del Conocimiento Para La Transferencia De Innovaciones Y Buenas Prácticas De Gest Ión Entre Gobiernos Locales,Mario Waissbluth Subelman,"Gestión Del Conocimiento, Municipios, Mejores Practicas",287804.0,Tic,12/1/2011,12/1/2014
D10I1037,2010,Desarrollando Competencias Para El Siglo 21: Evaluando Competencias Docentes Para Fortalecer Las Hab Ilidades Tic Para El Aprendizaje (Htpa) En Estudiantes Del Sistema Escolar Chileno.,Alvaro Salinas Espinosa,"Educación, Habilidades Tic, Docentes",264710.0,Tic,12/30/2011,12/30/2014
D10I1038,2010,Red De Información En Biodiversidad Para Orientar Las Prioridades De Investigación Científica En Apo Yo A Las Políticas Públicas Ambientales,Rogelio Sellanes Lopez,"Información Cientifica En, Barcoding, Taxa, Algas, A, Repositorio",292452.0,Pesca Y Acuicultura,4/1/2012,4/1/2015
D10I1049,2010,Una Herramienta Táctico-Estratégica De Gestión Y Planificación De Sistemas De Transporte Público Urb Ano.,Juan Muñoz Abogabir,"Transporte Público, Planificación Urbana, Metro Y Transantiago",296757.0,Tic,1/2/2012,1/1/2015
D10I1050,2010,Optimización De La Sobrevivencia De Larvas De Seriola Lalandi Mediante La Utilización De  Alimento P Robiótico,Carlos Riquelme Salamanca,"Probiótico, Sobrevivencia, Larvas",208250.0,Tic,12/26/2011,12/26/2014
