project_code,year,title,director,keywords,amount,area,start_date,end_date
Id14I10335,2014,"Vacuna Recombinante Contra La Bacteria Lawsonia Intracellularis, Causante De La Enteropatia Prolife Rativa Porcina",Raquel Montesino Segui,,0.0,Agropecuaria,,
Ca12I10022,2012,"Desarrollo De Un Preparado De Fitasa Activa A Bajas Temperaturas (10-16°C) Para Suplementar ""In Vivo Dietas De Peces Con Elevados Niveles De Proteínas Vegetales.",Marcia Costa Lobos,,0.0,Pesca Y Acuicultura,,
Ca12I10023,2012,"Desarrollo, Producción Y Caracterización De Anticuerpos Recombinantes De Origen Humano Anti Mica Con Potencial Terapéutico Para El Tratamiento De Cáncer Gástrico",Maria Molina Sampayo,,0.0,Salud,,
Id14I10128,2014,Uso De Rizobacterias Nativas Para El Control Especifico Del Nematodo Dorado De La Papa Globodera Ros Tochiensis,Erwin Aballay Espinoza,,0.0,Agropecuaria,,
Ca12I10047,2012,Desarrollo De Una Malla De Cultivo Antifouling Para La Industria Acuícola Basada En Polímeros Con Partículas De Cobre,Humberto Palza Cordero,,0.0,Pesca Y Acuicultura,,
Id15I10417,2015,"Steinernema Sp. Aislamiento Licán Ray: Desarrollo De Una Alternativa Para El Control Biológico Del G Usano Cortador Agrotis Ipsilon, Plaga De Las Principales Hortalizas Y Cultivos En Chile",Gabriela Lankin Vega,,0.0,Agropecuaria,,
Ca12I10061,2012,Plataforma Informática Basada En Web-Intelligence Y Herramientas De Análisis De Exploración Visual Para La Mejora De La Estructura Y Contenido De Sitios Web (Akori: Advanced Kernel For Ocular Research And Web Intelligence),Juan Velasquez Silva,,0.0,Tecnología De La Información Y Comunicaciones,,
Ca12I10075,2012,Ciencias Integradas: Una Propuesta De Apoyo A La Educación Formal De Ciencias En Los Niveles De 1º A 4º De Educación General Básica,Luis Barrera Salas,,0.0,Educacion Y Ciencias Sociales,,
Ca12I10076,2012,Modelo De Evaluación De Condiciones Para El Ejercicio De La Parentalidad (Mecep). En El Marco De La Política De Protección De Derechos De La Infancia,Magaly Cabrolie Vargas,,0.0,Educacion Y Ciencias Sociales,,
Ca12I10081,2012,Itext Routing: Reconocimiento Inteligente De Las Intenciones Del Usuarios Para Enrutamiento De Llamdas En Call Centers Utilizando  Técnicas De Análisis Semántico De Lenguaje Natural Y Métodos De Aprendizaje Automático,John Atkinson Abutridy,,0.0,Tecnología De La Información Y Comunicaciones,,
